"orderNumber","customerEmail","orderDate","amount","currency","category","productName","status"
"ORD-0027-2","nisha.saxena.27@gmail.com","2026-02-07","1072","INR","Festive Wear","Embroidered Kurta","completed"
"ORD-0027-3","nisha.saxena.27@gmail.com","2026-01-16","1249","INR","Footwear","Kolhapuri Flats","completed"
"ORD-0028-1","anaya.iyer.28@gmail.com","2025-11-24","2691","INR","Athleisure","Ribbed Joggers","completed"
"ORD-0028-2","anaya.iyer.28@gmail.com","2025-11-03","3073","INR","Athleisure","Oversized Hoodie","completed"
"ORD-0028-3","anaya.iyer.28@gmail.com","2025-10-19","3171","INR","Summer Dresses","Floral Wrap Dress","completed"
"ORD-0029-1","arjun.rao.29@gmail.com","2026-05-29","3401","INR","Summer Dresses","Cotton Sundress","completed"
"ORD-0029-2","arjun.rao.29@gmail.com","2026-05-04","5042","INR","Summer Dresses","Floral Wrap Dress","completed"
"ORD-0029-3","arjun.rao.29@gmail.com","2026-04-14","6618","INR","Summer Dresses","Linen Midi Dress","completed"
"ORD-0029-4","arjun.rao.29@gmail.com","2026-03-23","5027","INR","Summer Dresses","Floral Wrap Dress","returned"
"ORD-0029-5","arjun.rao.29@gmail.com","2026-02-26","6490","INR","Denim","Denim Jacket","completed"
"ORD-0029-6","arjun.rao.29@gmail.com","2026-02-11","4190","INR","Summer Dresses","Linen Midi Dress","completed"
"ORD-0029-7","arjun.rao.29@gmail.com","2026-01-23","6567","INR","Summer Dresses","Floral Wrap Dress","completed"
"ORD-0029-8","arjun.rao.29@gmail.com","2025-12-25","3044","INR","Summer Dresses","Floral Wrap Dress","completed"
"ORD-0030-1","kabir.menon.30@gmail.com","2026-04-27","1010","INR","Summer Dresses","Cotton Sundress","completed"
"ORD-0031-1","aarav.menon.31@gmail.com","2026-03-05","3107","INR","Denim","Straight Fit Jeans","completed"
"ORD-0031-2","aarav.menon.31@gmail.com","2026-02-08","2053","INR","Athleisure","Oversized Hoodie","completed"
"ORD-0031-3","aarav.menon.31@gmail.com","2026-01-16","1657","INR","Athleisure","Ribbed Joggers","completed"
"ORD-0032-1","dev.iyer.32@gmail.com","2025-11-25","1720","INR","Denim","Denim Jacket","completed"
"ORD-0032-2","dev.iyer.32@gmail.com","2025-11-09","1442","INR","Accessories","Minimal Belt","completed"
"ORD-0033-1","riya.mehta.33@gmail.com","2026-05-22","1550","INR","Athleisure","Performance Tee","returned"
"ORD-0034-1","arjun.saxena.34@gmail.com","2026-04-28","2281","INR","Accessories","Minimal Belt","returned"
"ORD-0034-2","arjun.saxena.34@gmail.com","2026-04-03","3242","INR","Accessories","Minimal Belt","returned"
"ORD-0034-3","arjun.saxena.34@gmail.com","2026-03-10","1752","INR","Accessories","Canvas Tote","completed"
"ORD-0034-4","arjun.saxena.34@gmail.com","2026-02-20","1887","INR","Accessories","Gold Hoop Earrings","completed"
"ORD-0035-1","arjun.mehta.35@gmail.com","2026-02-28","1695","INR","Accessories","Minimal Belt","completed"
"ORD-0035-2","arjun.mehta.35@gmail.com","2026-02-07","1599","INR","Accessories","Gold Hoop Earrings","completed"
"ORD-0036-1","aarav.mehta.36@gmail.com","2025-11-27","5743","INR","Footwear","Kolhapuri Flats","completed"
"ORD-0036-2","aarav.mehta.36@gmail.com","2025-11-05","4725","INR","Summer Dresses","Cotton Sundress","completed"
"ORD-0036-3","aarav.mehta.36@gmail.com","2025-10-18","4810","INR","Denim","High-Rise Jeans","completed"
"ORD-0036-4","aarav.mehta.36@gmail.com","2025-09-25","2968","INR","Accessories","Minimal Belt","completed"
"ORD-0036-5","aarav.mehta.36@gmail.com","2025-09-01","3400","INR","Accessories","Minimal Belt","completed"
"ORD-0036-6","aarav.mehta.36@gmail.com","2025-08-16","3936","INR","Accessories","Minimal Belt","completed"
"ORD-0036-7","aarav.mehta.36@gmail.com","2025-07-31","3761","INR","Athleisure","Oversized Hoodie","completed"
"ORD-0036-8","aarav.mehta.36@gmail.com","2025-07-06","6599","INR","Accessories","Minimal Belt","completed"
"ORD-0037-1","tara.mehta.37@gmail.com","2026-05-21","3035","INR","Accessories","Minimal Belt","completed"
"ORD-0037-2","tara.mehta.37@gmail.com","2026-05-08","2644","INR","Accessories","Canvas Tote","completed"
"ORD-0038-1","kabir.kapoor.38@gmail.com","2026-04-24","1892","INR","Festive Wear","Embroidered Kurta","completed"
"ORD-0038-2","kabir.kapoor.38@gmail.com","2026-04-04","1334","INR","Footwear","Kolhapuri Flats","completed"
"ORD-0038-3","kabir.kapoor.38@gmail.com","2026-03-15","934","INR","Footwear","White Sneakers","completed"
"ORD-0039-1","dev.mehta.39@gmail.com","2026-02-28","1298","INR","Festive Wear","Mirrorwork Co-ord","completed"
"ORD-0039-2","dev.mehta.39@gmail.com","2026-02-16","1230","INR","Festive Wear","Mirrorwork Co-ord","completed"
"ORD-0040-1","anaya.menon.40@gmail.com","2025-11-30","3285","INR","Festive Wear","Embroidered Kurta","completed"
"ORD-0041-1","meera.saxena.41@gmail.com","2026-05-22","1098","INR","Footwear","Block Heel Sandals","completed"
"ORD-0042-1","ishaan.mehta.42@gmail.com","2026-04-19","1477","INR","Accessories","Gold Hoop Earrings","completed"
"ORD-0042-2","ishaan.mehta.42@gmail.com","2026-04-08","1021","INR","Accessories","Gold Hoop Earrings","returned"
"ORD-0042-3","ishaan.mehta.42@gmail.com","2026-03-08","1282","INR","Accessories","Gold Hoop Earrings","completed"
"ORD-0043-1","diya.saxena.43@gmail.com","2026-03-08","3468","INR","Denim","Straight Fit Jeans","returned"
"ORD-0043-2","diya.saxena.43@gmail.com","2026-02-12","6188","INR","Denim","High-Rise Jeans","completed"
"ORD-0043-3","diya.saxena.43@gmail.com","2026-01-18","4188","INR","Denim","Straight Fit Jeans","completed"
"ORD-0043-4","diya.saxena.43@gmail.com","2025-12-29","5530","INR","Festive Wear","Embroidered Kurta","completed"
"ORD-0043-5","diya.saxena.43@gmail.com","2025-12-08","3659","INR","Denim","Denim Jacket","completed"
"ORD-0044-1","anaya.bose.44@gmail.com","2025-11-25","1718","INR","Accessories","Minimal Belt","completed"
"ORD-0044-2","anaya.bose.44@gmail.com","2025-11-09","1453","INR","Summer Dresses","Cotton Sundress","completed"
"ORD-0045-1","tara.kapoor.45@gmail.com","2026-05-22","914","INR","Athleisure","Ribbed Joggers","completed"
"ORD-0045-2","tara.kapoor.45@gmail.com","2026-05-04","1344","INR","Festive Wear","Silk Dupatta","completed"
"ORD-0045-3","tara.kapoor.45@gmail.com","2026-04-09","1734","INR","Festive Wear","Embroidered Kurta","completed"
"ORD-0045-4","tara.kapoor.45@gmail.com","2026-03-20","1289","INR","Festive Wear","Embroidered Kurta","completed"
"ORD-0046-1","nisha.bose.46@gmail.com","2026-04-25","2311","INR","Denim","Straight Fit Jeans","completed"
"ORD-0046-2","nisha.bose.46@gmail.com","2026-04-05","2807","INR","Denim","High-Rise Jeans","completed"
"ORD-0047-1","vivaan.saxena.47@gmail.com","2026-03-08","1292","INR","Athleisure","Ribbed Joggers","completed"
"ORD-0047-2","vivaan.saxena.47@gmail.com","2026-02-16","870","INR","Footwear","White Sneakers","completed"
"ORD-0048-1","tara.khanna.48@gmail.com","2025-11-30","1553","INR","Accessories","Gold Hoop Earrings","completed"
"ORD-0048-2","tara.khanna.48@gmail.com","2025-11-03","1374","INR","Accessories","Minimal Belt","completed"
"ORD-0048-3","tara.khanna.48@gmail.com","2025-10-22","1265","INR","Accessories","Minimal Belt","completed"
"ORD-0049-1","ishaan.nair.49@gmail.com","2026-05-20","2172","INR","Denim","Denim Jacket","completed"
"ORD-0049-2","ishaan.nair.49@gmail.com","2026-05-05","3086","INR","Denim","Straight Fit Jeans","completed"
"ORD-0049-3","ishaan.nair.49@gmail.com","2026-04-17","3475","INR","Athleisure","Performance Tee","completed"
"ORD-0049-4","ishaan.nair.49@gmail.com","2026-03-17","3170","INR","Denim","High-Rise Jeans","completed"
"ORD-0050-1","diya.kapoor.50@gmail.com","2026-04-28","4394","INR","Denim","Denim Jacket","completed"
"ORD-0050-2","diya.kapoor.50@gmail.com","2026-04-08","3256","INR","Denim","Straight Fit Jeans","completed"
"ORD-0050-3","diya.kapoor.50@gmail.com","2026-03-13","5843","INR","Athleisure","Performance Tee","completed"
"ORD-0050-4","diya.kapoor.50@gmail.com","2026-02-25","4130","INR","Denim","Straight Fit Jeans","completed"
"ORD-0050-5","diya.kapoor.50@gmail.com","2026-02-03","4511","INR","Denim","High-Rise Jeans","completed"
"ORD-0050-6","diya.kapoor.50@gmail.com","2026-01-13","2963","INR","Athleisure","Performance Tee","completed"
"ORD-0050-7","diya.kapoor.50@gmail.com","2025-12-21","6187","INR","Denim","High-Rise Jeans","completed"
"ORD-0050-8","diya.kapoor.50@gmail.com","2025-12-02","4174","INR","Footwear","Kolhapuri Flats","completed"
"ORD-0051-1","nisha.kapoor.51@gmail.com","2026-02-28","1135","INR","Accessories","Minimal Belt","completed"
"ORD-0051-2","nisha.kapoor.51@gmail.com","2026-02-11","1888","INR","Accessories","Gold Hoop Earrings","completed"
"ORD-0052-1","ishaan.saxena.52@gmail.com","2025-11-27","3262","INR","Denim","High-Rise Jeans","completed"
"ORD-0052-2","ishaan.saxena.52@gmail.com","2025-11-10","3341","INR","Denim","High-Rise Jeans","completed"
"ORD-0053-1","nisha.iyer.53@gmail.com","2026-05-21","1689","INR","Festive Wear","Silk Dupatta","completed"
"ORD-0054-1","vivaan.sharma.54@gmail.com","2026-04-22","1602","INR","Denim","Straight Fit Jeans","completed"
"ORD-0054-2","vivaan.sharma.54@gmail.com","2026-04-04","1109","INR","Denim","Straight Fit Jeans","completed"
"ORD-0054-3","vivaan.sharma.54@gmail.com","2026-03-10","1365","INR","Denim","Straight Fit Jeans","completed"
"ORD-0055-1","meera.khanna.55@gmail.com","2026-03-05","2702","INR","Summer Dresses","Linen Midi Dress","completed"
"ORD-0055-2","meera.khanna.55@gmail.com","2026-02-06","3600","INR","Festive Wear","Mirrorwork Co-ord","completed"
"ORD-0055-3","meera.khanna.55@gmail.com","2026-01-17","2957","INR","Denim","Denim Jacket","completed"
"ORD-0055-4","meera.khanna.55@gmail.com","2026-01-02","3472","INR","Denim","Denim Jacket","completed"
"ORD-0056-1","riya.iyer.56@gmail.com","2025-12-03","1568","INR","Festive Wear","Silk Dupatta","completed"
"ORD-0057-1","vivaan.bose.57@gmail.com","2026-05-21","5864","INR","Denim","Straight Fit Jeans","completed"
"ORD-0057-2","vivaan.bose.57@gmail.com","2026-05-02","3957","INR","Denim","Straight Fit Jeans","completed"
"ORD-0057-3","vivaan.bose.57@gmail.com","2026-04-14","6070","INR","Denim","Straight Fit Jeans","completed"
"ORD-0057-4","vivaan.bose.57@gmail.com","2026-03-24","3810","INR","Summer Dresses","Linen Midi Dress","completed"
"ORD-0057-5","vivaan.bose.57@gmail.com","2026-03-05","4417","INR","Denim","High-Rise Jeans","completed"
"ORD-0057-6","vivaan.bose.57@gmail.com","2026-02-07","5984","INR","Denim","High-Rise Jeans","completed"
"ORD-0057-7","vivaan.bose.57@gmail.com","2026-01-17","3719","INR","Summer Dresses","Linen Midi Dress","completed"
"ORD-0057-8","vivaan.bose.57@gmail.com","2025-12-24","6477","INR","Denim","High-Rise Jeans","completed"
"ORD-0058-1","diya.sharma.58@gmail.com","2026-04-29","2256","INR","Athleisure","Ribbed Joggers","completed"
"ORD-0058-2","diya.sharma.58@gmail.com","2026-04-06","2321","INR","Denim","High-Rise Jeans","completed"
"ORD-0058-3","diya.sharma.58@gmail.com","2026-03-07","2220","INR","Summer Dresses","Floral Wrap Dress","completed"
"ORD-0058-4","diya.sharma.58@gmail.com","2026-02-15","2042","INR","Athleisure","Performance Tee","completed"
"ORD-0059-1","meera.iyer.59@gmail.com","2026-03-03","1229","INR","Festive Wear","Embroidered Kurta","completed"
"ORD-0059-2","meera.iyer.59@gmail.com","2026-02-11","1162","INR","Festive Wear","Mirrorwork Co-ord","completed"
"ORD-0059-3","meera.iyer.59@gmail.com","2026-01-16","925","INR","Summer Dresses","Cotton Sundress","completed"
"ORD-0060-1","riya.kapoor.60@gmail.com","2025-11-26","1685","INR","Denim","Straight Fit Jeans","completed"
"ORD-0060-2","riya.kapoor.60@gmail.com","2025-11-04","1160","INR","Festive Wear","Embroidered Kurta","completed"
"ORD-0060-3","riya.kapoor.60@gmail.com","2025-10-23","1734","INR","Footwear","White Sneakers","completed"
"ORD-0061-1","aarav.kapoor.61@gmail.com","2026-05-24","3291","INR","Footwear","White Sneakers","completed"
"ORD-0061-2","aarav.kapoor.61@gmail.com","2026-04-29","2795","INR","Footwear","Block Heel Sandals","completed"
"ORD-0062-1","arjun.menon.62@gmail.com","2026-04-27","1404","INR","Summer Dresses","Linen Midi Dress","completed"
"ORD-0062-2","arjun.menon.62@gmail.com","2026-04-03","1749","INR","Accessories","Canvas Tote","completed"
"ORD-0062-3","arjun.menon.62@gmail.com","2026-03-07","1550","INR","Festive Wear","Silk Dupatta","completed"
"ORD-0063-1","dev.khanna.63@gmail.com","2026-03-09","1653","INR","Accessories","Canvas Tote","completed"
"ORD-0063-2","dev.khanna.63@gmail.com","2026-02-09","1340","INR","Footwear","Block Heel Sandals","completed"
"ORD-0064-1","arjun.sharma.64@gmail.com","2025-11-29","6443","INR","Summer Dresses","Cotton Sundress","completed"
"ORD-0064-2","arjun.sharma.64@gmail.com","2025-11-10","6608","INR","Denim","High-Rise Jeans","completed"
"ORD-0064-3","arjun.sharma.64@gmail.com","2025-10-20","5798","INR","Summer Dresses","Cotton Sundress","completed"
"ORD-0064-4","arjun.sharma.64@gmail.com","2025-10-02","4824","INR","Summer Dresses","Linen Midi Dress","completed"
"ORD-0064-5","arjun.sharma.64@gmail.com","2025-09-03","3582","INR","Summer Dresses","Linen Midi Dress","completed"
"ORD-0065-1","vivaan.sharma.65@gmail.com","2026-05-25","1090","INR","Festive Wear","Silk Dupatta","completed"
"ORD-0065-2","vivaan.sharma.65@gmail.com","2026-05-08","1400","INR","Festive Wear","Mirrorwork Co-ord","completed"
"ORD-0066-1","kabir.nair.66@gmail.com","2026-04-27","1227","INR","Summer Dresses","Linen Midi Dress","completed"
"ORD-0066-2","kabir.nair.66@gmail.com","2026-04-05","1223","INR","Summer Dresses","Cotton Sundress","returned"
"ORD-0066-3","kabir.nair.66@gmail.com","2026-03-08","970","INR","Summer Dresses","Cotton Sundress","completed"
"ORD-0067-1","arjun.kapoor.67@gmail.com","2026-03-08","3044","INR","Summer Dresses","Linen Midi Dress","completed"
"ORD-0068-1","anaya.rao.68@gmail.com","2025-12-01","1506","INR","Festive Wear","Silk Dupatta","completed"
"ORD-0068-2","anaya.rao.68@gmail.com","2025-11-14","1570","INR","Footwear","Block Heel Sandals","completed"
"ORD-0069-1","riya.bose.69@gmail.com","2026-05-28","1555","INR","Denim","High-Rise Jeans","completed"
"ORD-0069-2","riya.bose.69@gmail.com","2026-05-07","1901","INR","Festive Wear","Embroidered Kurta","completed"
"ORD-0070-1","kabir.khanna.70@gmail.com","2026-04-28","2270","INR","Footwear","White Sneakers","completed"
"ORD-0070-2","kabir.khanna.70@gmail.com","2026-03-28","3390","INR","Festive Wear","Silk Dupatta","returned"
"ORD-0070-3","kabir.khanna.70@gmail.com","2026-03-17","3564","INR","Footwear","White Sneakers","completed"
"ORD-0070-4","kabir.khanna.70@gmail.com","2026-02-24","2811","INR","Footwear","White Sneakers","completed"
"ORD-0071-1","meera.nair.71@gmail.com","2026-03-07","5267","INR","Accessories","Gold Hoop Earrings","completed"
"ORD-0071-2","meera.nair.71@gmail.com","2026-02-06","5507","INR","Accessories","Minimal Belt","completed"
"ORD-0071-3","meera.nair.71@gmail.com","2026-01-21","4460","INR","Festive Wear","Embroidered Kurta","completed"
"ORD-0071-4","meera.nair.71@gmail.com","2025-12-31","4499","INR","Accessories","Gold Hoop Earrings","completed"
"ORD-0071-5","meera.nair.71@gmail.com","2025-12-15","4857","INR","Accessories","Canvas Tote","completed"
"ORD-0071-6","meera.nair.71@gmail.com","2025-11-18","4572","INR","Denim","High-Rise Jeans","completed"
"ORD-0071-7","meera.nair.71@gmail.com","2025-10-27","5934","INR","Athleisure","Oversized Hoodie","completed"
"ORD-0071-8","meera.nair.71@gmail.com","2025-10-12","3143","INR","Footwear","Block Heel Sandals","completed"
"ORD-0072-1","dev.kapoor.72@gmail.com","2025-11-24","1150","INR","Denim","Denim Jacket","completed"
"ORD-0072-2","dev.kapoor.72@gmail.com","2025-11-08","1260","INR","Denim","Straight Fit Jeans","completed"
"ORD-0073-1","meera.bose.73@gmail.com","2026-05-30","2073","INR","Accessories","Gold Hoop Earrings","completed"
"ORD-0073-2","meera.bose.73@gmail.com","2026-05-04","1613","INR","Accessories","Minimal Belt","completed"
"ORD-0073-3","meera.bose.73@gmail.com","2026-04-18","2784","INR","Accessories","Gold Hoop Earrings","completed"
"ORD-0074-1","riya.khanna.74@gmail.com","2026-04-27","1530","INR","Accessories","Canvas Tote","completed"
"ORD-0074-2","riya.khanna.74@gmail.com","2026-03-29","1874","INR","Denim","Denim Jacket","completed"
"ORD-0074-3","riya.khanna.74@gmail.com","2026-03-07","1447","INR","Summer Dresses","Floral Wrap Dress","completed"
"ORD-0075-1","nisha.kapoor.75@gmail.com","2026-02-27","1790","INR","Footwear","Block Heel Sandals","completed"
"ORD-0075-2","nisha.kapoor.75@gmail.com","2026-02-08","1240","INR","Summer Dresses","Linen Midi Dress","completed"
"ORD-0075-3","nisha.kapoor.75@gmail.com","2026-01-22","1159","INR","Summer Dresses","Cotton Sundress","completed"
