"externalId","name","email","phone","city","signupDate","categoryAffinity","aovTier"
"cust_0020","Meera Rao","meera.rao.20@gmail.com","+917961493702","Bengaluru","2026-04-09","Festive Wear","value"
"cust_0021","Ishaan Menon","ishaan.menon.21@gmail.com","+918169750779","Ahmedabad","2026-02-26","Accessories","value"
"cust_0022","Diya Mehta","diya.mehta.22@gmail.com","+917690839564","Pune","2025-08-23","Accessories","high"
"cust_0023","Tara Sharma","tara.sharma.23@gmail.com","+918707191187","Delhi","2026-01-16","Denim","value"
"cust_0024","Dev Iyer","dev.iyer.24@gmail.com","+917182499992","Chennai","2025-06-03","Footwear","value"
"cust_0025","Anaya Nair","anaya.nair.25@gmail.com","+917155649112","Delhi","2025-06-06","Summer Dresses","mid"
"cust_0026","Anaya Menon","anaya.menon.26@gmail.com","+918281146461","Ahmedabad","2026-05-09","Summer Dresses","value"
"cust_0027","Nisha Saxena","nisha.saxena.27@gmail.com","+917880294828","Ahmedabad","2025-01-13","Festive Wear","value"
"cust_0028","Anaya Iyer","anaya.iyer.28@gmail.com","+917710247668","Chennai","2025-08-17","Athleisure","mid"
"cust_0029","Arjun Rao","arjun.rao.29@gmail.com","+918968298125","Delhi","2025-10-29","Summer Dresses","high"
"cust_0030","Kabir Menon","kabir.menon.30@gmail.com","+918095133130","Ahmedabad","2025-08-30","Denim","value"
"cust_0031","Aarav Menon","aarav.menon.31@gmail.com","+917413545383","Pune","2025-11-21","Athleisure","mid"
"cust_0032","Dev Iyer","dev.iyer.32@gmail.com","+917140819719","Ahmedabad","2026-01-07","Accessories","value"
"cust_0033","Riya Mehta","riya.mehta.33@gmail.com","+917914136552","Bengaluru","2025-09-04","Athleisure","value"
"cust_0034","Arjun Saxena","arjun.saxena.34@gmail.com","+918727912552","Ahmedabad","2025-05-26","Accessories","mid"
"cust_0035","Arjun Mehta","arjun.mehta.35@gmail.com","+917520880667","Hyderabad","2025-10-22","Accessories","value"
"cust_0036","Aarav Mehta","aarav.mehta.36@gmail.com","+917911329948","Mumbai","2025-11-24","Accessories","high"
"cust_0037","Tara Mehta","tara.mehta.37@gmail.com","+917150781275","Chennai","2025-11-09","Accessories","mid"
"cust_0038","Kabir Kapoor","kabir.kapoor.38@gmail.com","+918950081935","Pune","2026-02-23","Festive Wear","value"
"cust_0039","Dev Mehta","dev.mehta.39@gmail.com","+918752756055","Pune","2025-03-29","Festive Wear","value"
"cust_0040","Anaya Menon","anaya.menon.40@gmail.com","+918764561802","Ahmedabad","2025-02-04","Festive Wear","mid"
"cust_0041","Meera Saxena","meera.saxena.41@gmail.com","+918755618409","Delhi","2025-02-02","Athleisure","value"
"cust_0042","Ishaan Mehta","ishaan.mehta.42@gmail.com","+918711132277","Jaipur","2025-03-13","Accessories","value"
"cust_0043","Diya Saxena","diya.saxena.43@gmail.com","+918160177562","Chennai","2025-10-11","Denim","high"
"cust_0044","Anaya Bose","anaya.bose.44@gmail.com","+917251747035","Hyderabad","2025-12-21","Accessories","value"
"cust_0045","Tara Kapoor","tara.kapoor.45@gmail.com","+918714481683","Mumbai","2026-03-13","Festive Wear","value"
"cust_0046","Nisha Bose","nisha.bose.46@gmail.com","+917452026891","Chennai","2026-01-05","Denim","mid"
"cust_0047","Vivaan Saxena","vivaan.saxena.47@gmail.com","+917218737156","Pune","2026-01-03","Athleisure","value"
"cust_0048","Tara Khanna","tara.khanna.48@gmail.com","+918638471365","Pune","2026-02-21","Accessories","value"
"cust_0049","Ishaan Nair","ishaan.nair.49@gmail.com","+918950664324","Mumbai","2025-07-11","Denim","mid"
"cust_0050","Diya Kapoor","diya.kapoor.50@gmail.com","+917044431651","Mumbai","2025-07-07","Denim","high"
"cust_0051","Nisha Kapoor","nisha.kapoor.51@gmail.com","+918915759919","Mumbai","2025-12-13","Accessories","value"
"cust_0052","Ishaan Saxena","ishaan.saxena.52@gmail.com","+918950740198","Ahmedabad","2025-06-03","Denim","mid"
"cust_0053","Nisha Iyer","nisha.iyer.53@gmail.com","+917488123601","Delhi","2025-02-28","Summer Dresses","value"
"cust_0054","Vivaan Sharma","vivaan.sharma.54@gmail.com","+917450687458","Ahmedabad","2026-03-16","Denim","value"
"cust_0055","Meera Khanna","meera.khanna.55@gmail.com","+918279606963","Chennai","2025-10-08","Denim","mid"
"cust_0056","Riya Iyer","riya.iyer.56@gmail.com","+918473116650","Ahmedabad","2026-03-20","Festive Wear","value"
"cust_0057","Vivaan Bose","vivaan.bose.57@gmail.com","+917346333293","Ahmedabad","2025-10-06","Denim","high"
"cust_0058","Diya Sharma","diya.sharma.58@gmail.com","+917886957012","Jaipur","2026-01-06","Athleisure","mid"
"cust_0059","Meera Iyer","meera.iyer.59@gmail.com","+917320321804","Chennai","2025-08-23","Festive Wear","value"
"cust_0060","Riya Kapoor","riya.kapoor.60@gmail.com","+918616157736","Bengaluru","2025-07-25","Festive Wear","value"
"cust_0061","Aarav Kapoor","aarav.kapoor.61@gmail.com","+917115468052","Delhi","2025-06-02","Footwear","mid"
"cust_0062","Arjun Menon","arjun.menon.62@gmail.com","+917002708496","Bengaluru","2025-12-15","Summer Dresses","value"
"cust_0063","Dev Khanna","dev.khanna.63@gmail.com","+917938349430","Mumbai","2026-01-02","Accessories","value"
"cust_0064","Arjun Sharma","arjun.sharma.64@gmail.com","+918048077180","Pune","2025-02-04","Summer Dresses","high"
"cust_0065","Vivaan Sharma","vivaan.sharma.65@gmail.com","+918837569264","Chennai","2025-10-14","Festive Wear","value"
"cust_0066","Kabir Nair","kabir.nair.66@gmail.com","+918779214371","Delhi","2026-05-04","Summer Dresses","value"
"cust_0067","Arjun Kapoor","arjun.kapoor.67@gmail.com","+917728495252","Jaipur","2025-02-28","Summer Dresses","mid"
"cust_0068","Anaya Rao","anaya.rao.68@gmail.com","+917019560951","Jaipur","2025-02-19","Athleisure","value"
"cust_0069","Riya Bose","riya.bose.69@gmail.com","+918665722197","Hyderabad","2026-02-05","Festive Wear","value"
"cust_0070","Kabir Khanna","kabir.khanna.70@gmail.com","+918543481641","Chennai","2026-02-15","Footwear","mid"
"cust_0071","Meera Nair","meera.nair.71@gmail.com","+918209997690","Chennai","2025-12-17","Accessories","high"
"cust_0072","Dev Kapoor","dev.kapoor.72@gmail.com","+917059726275","Hyderabad","2026-05-14","Denim","value"
"cust_0073","Meera Bose","meera.bose.73@gmail.com","+917159547076","Chennai","2026-04-11","Accessories","mid"
"cust_0074","Riya Khanna","riya.khanna.74@gmail.com","+918887255282","Bengaluru","2025-11-20","Footwear","value"
"cust_0075","Nisha Kapoor","nisha.kapoor.75@gmail.com","+917715912004","Jaipur","2025-06-04","Summer Dresses","value"
"cust_0076","Ishaan Iyer","ishaan.iyer.76@gmail.com","+917900826828","Pune","2026-01-26","Accessories","mid"
"cust_0077","Kabir Saxena","kabir.saxena.77@gmail.com","+917622407150","Delhi","2025-11-07","Accessories","value"
"cust_0078","Tara Saxena","tara.saxena.78@gmail.com","+917724650910","Delhi","2025-01-25","Festive Wear","high"
"cust_0079","Ishaan Rao","ishaan.rao.79@gmail.com","+917214179778","Pune","2025-09-11","Athleisure","mid"
"cust_0080","Diya Bose","diya.bose.80@gmail.com","+918031593124","Chennai","2025-04-22","Athleisure","value"
"cust_0081","Ishaan Khanna","ishaan.khanna.81@gmail.com","+918875375009","Delhi","2025-08-02","Festive Wear","value"
"cust_0082","Riya Menon","riya.menon.82@gmail.com","+917416088524","Hyderabad","2025-06-20","Denim","mid"
"cust_0083","Tara Mehta","tara.mehta.83@gmail.com","+918813589801","Chennai","2025-06-26","Footwear","value"
"cust_0084","Arjun Sharma","arjun.sharma.84@gmail.com","+917146638673","Ahmedabad","2025-06-24","Festive Wear","value"
"cust_0085","Arjun Mehta","arjun.mehta.85@gmail.com","+918903919158","Mumbai","2025-09-24","Denim","high"
"cust_0086","Arjun Khanna","arjun.khanna.86@gmail.com","+918599297490","Bengaluru","2025-11-08","Athleisure","value"
"cust_0087","Tara Nair","tara.nair.87@gmail.com","+918772701281","Chennai","2025-10-04","Festive Wear","value"
"cust_0088","Meera Saxena","meera.saxena.88@gmail.com","+917118428073","Bengaluru","2025-06-08","Accessories","mid"
"cust_0089","Dev Menon","dev.menon.89@gmail.com","+917799042849","Mumbai","2025-04-28","Denim","value"
"cust_0090","Kabir Menon","kabir.menon.90@gmail.com","+917391928974","Delhi","2026-01-15","Denim","value"
"cust_0091","Diya Iyer","diya.iyer.91@gmail.com","+917549364813","Jaipur","2025-05-23","Accessories","mid"
"cust_0092","Arjun Sharma","arjun.sharma.92@gmail.com","+918660286684","Delhi","2026-03-24","Accessories","high"
"cust_0093","Tara Rao","tara.rao.93@gmail.com","+918114852841","Bengaluru","2026-03-03","Summer Dresses","value"
"cust_0094","Ishaan Kapoor","ishaan.kapoor.94@gmail.com","+918906723440","Delhi","2025-10-29","Denim","mid"
"cust_0095","Nisha Iyer","nisha.iyer.95@gmail.com","+918654224605","Pune","2025-11-08","Denim","value"
"cust_0096","Vivaan Mehta","vivaan.mehta.96@gmail.com","+917013846407","Jaipur","2025-04-14","Footwear","value"
"cust_0097","Ishaan Rao","ishaan.rao.97@gmail.com","+917682258276","Ahmedabad","2025-06-04","Athleisure","mid"
"cust_0098","Tara Bose","tara.bose.98@gmail.com","+918434481268","Ahmedabad","2025-10-23","Athleisure","value"
"cust_0099","Riya Khanna","riya.khanna.99@gmail.com","+918206880520","Jaipur","2025-01-19","Festive Wear","high"
"cust_0100","Arjun Kapoor","arjun.kapoor.100@gmail.com","+917433419138","Chennai","2026-03-29","Festive Wear","mid"
"cust_0101","Arjun Saxena","arjun.saxena.101@gmail.com","+918427538780","Bengaluru","2026-03-13","Summer Dresses","value"
"cust_0102","Arjun Bose","arjun.bose.102@gmail.com","+917908340691","Ahmedabad","2025-09-17","Accessories","value"
"cust_0103","Arjun Menon","arjun.menon.103@gmail.com","+917472239872","Pune","2026-03-07","Festive Wear","mid"
"cust_0104","Ishaan Iyer","ishaan.iyer.104@gmail.com","+917410252551","Pune","2025-10-11","Footwear","value"
"cust_0105","Vivaan Khanna","vivaan.khanna.105@gmail.com","+917616880730","Bengaluru","2026-03-31","Summer Dresses","value"
"cust_0106","Aarav Khanna","aarav.khanna.106@gmail.com","+917136008240","Jaipur","2025-07-17","Athleisure","high"
"cust_0107","Tara Nair","tara.nair.107@gmail.com","+918556849202","Delhi","2025-02-13","Accessories","value"
"cust_0108","Vivaan Nair","vivaan.nair.108@gmail.com","+918796797107","Hyderabad","2025-09-30","Accessories","value"
"cust_0109","Arjun Mehta","arjun.mehta.109@gmail.com","+917009452102","Ahmedabad","2025-08-05","Athleisure","mid"
"cust_0110","Anaya Saxena","anaya.saxena.110@gmail.com","+918145307404","Ahmedabad","2025-01-01","Summer Dresses","value"
"cust_0111","Anaya Nair","anaya.nair.111@gmail.com","+918094325854","Chennai","2025-10-10","Footwear","value"
"cust_0112","Ishaan Bose","ishaan.bose.112@gmail.com","+917456950568","Mumbai","2024-12-23","Athleisure","mid"
"cust_0113","Vivaan Iyer","vivaan.iyer.113@gmail.com","+917356663308","Delhi","2025-04-18","Footwear","high"
"cust_0114","Dev Iyer","dev.iyer.114@gmail.com","+918648445897","Bengaluru","2025-09-19","Festive Wear","value"
"cust_0115","Aarav Rao","aarav.rao.115@gmail.com","+918759325840","Chennai","2025-10-27","Accessories","mid"
"cust_0116","Nisha Menon","nisha.menon.116@gmail.com","+918407199753","Mumbai","2025-06-26","Festive Wear","value"
"cust_0117","Riya Saxena","riya.saxena.117@gmail.com","+917014941734","Chennai","2025-02-06","Footwear","value"
"cust_0118","Riya Menon","riya.menon.118@gmail.com","+918659903801","Ahmedabad","2025-06-17","Denim","mid"
"cust_0119","Nisha Khanna","nisha.khanna.119@gmail.com","+917957675696","Bengaluru","2025-02-23","Festive Wear","value"
"cust_0120","Vivaan Mehta","vivaan.mehta.120@gmail.com","+918361132117","Chennai","2025-12-21","Summer Dresses","high"
"cust_0121","Avni Kapoor","avni.kapoor.121@gmail.com","+918100000121","Mumbai","2026-01-18","Summer Dresses","mid"
"cust_0122","Reyansh Iyer","reyansh.iyer.122@gmail.com","+918100000122","Delhi","2026-02-04","Denim","value"
"cust_0123","Kiara Mehta","kiara.mehta.123@gmail.com","+918100000123","Bengaluru","2025-12-11","Accessories","high"
"cust_0124","Aditya Rao","aditya.rao.124@gmail.com","+918100000124","Pune","2026-03-03","Athleisure","mid"
"cust_0125","Sara Nair","sara.nair.125@gmail.com","+918100000125","Hyderabad","2025-11-26","Festive Wear","high"
"cust_0126","Vihaan Bose","vihaan.bose.126@gmail.com","+918100000126","Chennai","2026-01-29","Footwear","value"
"cust_0127","Myra Khanna","myra.khanna.127@gmail.com","+918100000127","Jaipur","2026-04-08","Summer Dresses","mid"
"cust_0128","Neil Menon","neil.menon.128@gmail.com","+918100000128","Ahmedabad","2025-10-17","Denim","value"
"cust_0129","Anika Saxena","anika.saxena.129@gmail.com","+918100000129","Mumbai","2026-02-21","Accessories","mid"
"cust_0130","Yuvraj Sharma","yuvraj.sharma.130@gmail.com","+918100000130","Delhi","2025-09-30","Athleisure","high"
"cust_0131","Ira Kapoor","ira.kapoor.131@gmail.com","+918100000131","Bengaluru","2026-03-16","Festive Wear","mid"
"cust_0132","Arnav Iyer","arnav.iyer.132@gmail.com","+918100000132","Pune","2025-12-29","Footwear","value"
"cust_0133","Tanya Mehta","tanya.mehta.133@gmail.com","+918100000133","Hyderabad","2026-01-09","Summer Dresses","high"
"cust_0134","Rudra Rao","rudra.rao.134@gmail.com","+918100000134","Chennai","2026-04-20","Denim","mid"
"cust_0135","Navya Nair","navya.nair.135@gmail.com","+918100000135","Jaipur","2025-11-07","Accessories","value"
"cust_0136","Kabir Bose","kabir.bose.136@gmail.com","+918100000136","Ahmedabad","2026-02-14","Athleisure","mid"
"cust_0137","Pihu Khanna","pihu.khanna.137@gmail.com","+918100000137","Mumbai","2026-03-27","Festive Wear","high"
"cust_0138","Ahaan Menon","ahaan.menon.138@gmail.com","+918100000138","Delhi","2025-10-22","Footwear","value"
"cust_0139","Saanvi Saxena","saanvi.saxena.139@gmail.com","+918100000139","Bengaluru","2026-01-31","Summer Dresses","mid"
"cust_0140","Dhruv Sharma","dhruv.sharma.140@gmail.com","+918100000140","Pune","2025-12-05","Denim","high"
"cust_0141","Misha Kapoor","misha.kapoor.141@gmail.com","+918100000141","Hyderabad","2026-02-25","Accessories","mid"
"cust_0142","Shaurya Iyer","shaurya.iyer.142@gmail.com","+918100000142","Chennai","2025-09-18","Athleisure","value"
"cust_0143","Prisha Mehta","prisha.mehta.143@gmail.com","+918100000143","Jaipur","2026-04-02","Festive Wear","high"
"cust_0144","Viraj Rao","viraj.rao.144@gmail.com","+918100000144","Ahmedabad","2026-01-12","Footwear","mid"
"cust_0145","Aarohi Nair","aarohi.nair.145@gmail.com","+918100000145","Mumbai","2025-11-19","Summer Dresses","value"
"cust_0146","Om Bose","om.bose.146@gmail.com","+918100000146","Delhi","2026-03-11","Denim","mid"
"cust_0147","Siya Khanna","siya.khanna.147@gmail.com","+918100000147","Bengaluru","2025-10-03","Accessories","high"
"cust_0148","Riaan Menon","riaan.menon.148@gmail.com","+918100000148","Pune","2026-02-07","Athleisure","value"
"cust_0149","Amaira Saxena","amaira.saxena.149@gmail.com","+918100000149","Hyderabad","2026-04-13","Festive Wear","mid"
"cust_0150","Laksh Sharma","laksh.sharma.150@gmail.com","+918100000150","Chennai","2025-12-23","Footwear","high"
"cust_demo_001","Aisha Mehta","aisha.demo@gmail.com","+919876543210","Mumbai","2026-01-12","Summer Dresses","high"
